resnet50_epoch,resnet50_train_time,resnet50_train_accuracy,resnet50_train_loss,resnet50_eval_time,resnet50_eval_accuracy,resnet50_eval_loss
1,121.61514614200132,0.7269730567932129,0.993111342887776,5.588102392001019,0.8001508712768555,0.532265774265134
2,120.06487296900013,0.8104162812232971,0.5256606401483719,5.4821812250011135,0.8514329195022583,0.38071696541158323
3,121.3264563240009,0.8628743886947632,0.36528734419755193,5.681387403001281,0.9268476963043213,0.22993659959659318
4,120.4157860009982,0.9174044132232666,0.23407827574955495,5.526200465003058,0.9291101098060608,0.22120929456584235
5,121.32347877799839,0.939254105091095,0.18014228204186297,5.232013138000184,0.9162896275520325,0.23885927420126368
6,121.18627240500064,0.9526276588439941,0.14640430730561776,5.706857476998266,0.9336349964141846,0.19361211314550172
7,120.25288251999882,0.944057285785675,0.17072822443604466,5.6004299340020225,0.9547511339187622,0.1479272841452024
8,120.84891179699844,0.9559239149093628,0.13537841649572713,5.280312301001686,0.960030198097229,0.10821291791109387
9,120.80286393999995,0.962799072265625,0.12015551490030998,5.525755243001186,0.960030198097229,0.11787449902620273
10,119.79914023400124,0.9676021933555603,0.09862158348321873,5.6925704770001175,0.9411764740943909,0.1593755447638655
11,120.79670495600294,0.9734413623809814,0.08080825776204342,5.7026748880016385,0.9555053114891052,0.1318972537218176
12,120.77028932599933,0.977679431438446,0.06793553343898447,5.56641456700163,0.9630467891693115,0.10298070718596097
13,120.71282436200272,0.9791862964630127,0.06949662052177692,5.294816274999903,0.9698340892791748,0.09296735849230252
14,121.17933612500201,0.9783387184143066,0.06657964635843512,5.236295172999235,0.9758672714233398,0.06332850713545504
15,121.69212928100023,0.9828593134880066,0.05020359562408737,5.758809237002424,0.9675716757774353,0.09015074386180633
16,120.43039176000093,0.9838011264801025,0.05503306737467942,5.532552569002291,0.9343891739845276,0.19485371888138994
17,119.38529594099964,0.9858730435371399,0.048957568914106755,5.447476921999623,0.9728506803512573,0.08536669720495159
18,108.86409695799739,0.989734411239624,0.02848116664108525,5.31846835900069,0.9766214489936829,0.07171100752321416
19,121.97775589400044,0.9908645749092102,0.025714720008351014,5.353979601000901,0.9788838624954224,0.06012081046311168
20,121.97310242200183,0.9896402359008789,0.03516026956826033,5.562506117999874,0.9826546311378479,0.06707423033563267
