vit_huge_14_augment_epoch,vit_huge_14_augment_train_time,vit_huge_14_augment_train_accuracy,vit_huge_14_augment_train_loss,vit_huge_14_augment_eval_time,vit_huge_14_augment_eval_accuracy,vit_huge_14_augment_eval_loss
1,1275.9530017770012,0.47532492876052856,1.6638058728474774,54.868190067994874,0.5052790641784668,0.9626591745005474
2,2374.904712995005,0.48559051752090454,0.9704278524951716,103.56560905100196,0.5052790641784668,0.9523904370326622
3,2457.7870389910095,0.5430401563644409,0.934419214332546,105.64422103999823,0.7141779661178589,0.783070079521536
4,2448.7764551839937,0.6994726061820984,0.7831437800154666,101.0652382519911,0.7036198973655701,0.7858803473626507
5,2394.8725164009957,0.7515539526939392,0.6912113029553989,103.74256799099385,0.7481146454811096,0.7171776758599605
6,2467.094808149006,0.7697306871414185,0.6687417658265868,106.10241616200074,0.7730015516281128,0.6550378058650734
7,2422.6340864820086,0.7785835266113281,0.6435613616147403,97.28976136400888,0.7835596203804016,0.6111535964868008
8,2392.1486452410027,0.7830100059509277,0.6354789635930319,104.35307632599142,0.7903469204902649,0.6037779348827955
9,1807.249724556008,0.7789602875709534,0.6332298705898496,54.97313000001304,0.7963801026344299,0.5927230295012978
10,1913.8602427389997,0.7960067987442017,0.5908749983525811,104.4405141340103,0.8016591668128967,0.5793859690742436
11,1741.8868258110015,0.8163496255874634,0.5379042779238441,49.05630334999296,0.7963801026344299,0.5670626621979934
12,1268.2886145480006,0.8132416605949402,0.535257660898028,55.13123084999097,0.7790347337722778,0.6098946263707421
13,1281.6161133610003,0.816820502281189,0.532037857517861,54.676237897001556,0.8212670087814331,0.5161354921162578
14,1278.9219935690053,0.6612356305122375,0.7672138780855059,55.36279379700136,0.5595777034759521,0.933005580355499
15,1279.7557009349985,0.5501036047935486,0.940725389847672,54.977332957991166,0.5678732991218567,0.9135603350931343
16,1279.559760575008,0.5693162679672241,0.9246833683699397,54.82840712599864,0.5384615659713745,0.9309388001759847
17,1280.2629828490026,0.5750612020492554,0.919249464325322,54.86118920300214,0.575414776802063,0.9293914722281523
18,1276.318082066995,0.638444185256958,0.8653322544379027,54.69791390901082,0.5716440677642822,0.9618623337594632
19,1278.1299154070002,0.7265021800994873,0.7330801432293044,54.907115498994244,0.7564102411270142,0.6858976009564522
20,1280.2772515599936,0.7865888476371765,0.6110692525689133,55.072434906993294,0.8046757578849792,0.5556506432738959
