vit_huge_14_augment_pretrained_epoch,vit_huge_14_augment_pretrained_train_time,vit_huge_14_augment_pretrained_train_accuracy,vit_huge_14_augment_pretrained_train_loss,vit_huge_14_augment_pretrained_eval_time,vit_huge_14_augment_pretrained_eval_accuracy,vit_huge_14_augment_pretrained_eval_loss
1,442.864224518009,0.830853283405304,0.4803108579247073,55.67367350299901,0.8627451062202454,0.38322671991667595
2,441.80662853299873,0.8932002186775208,0.32036935177242765,55.473473400998046,0.8921568989753723,0.2945017793958903
3,441.30878143999144,0.9142965078353882,0.2692338658756715,55.25124724100169,0.9140271544456482,0.2578859042887594
4,440.97374379499524,0.9247504472732544,0.23898354603546357,55.44107671799429,0.9200603365898132,0.23752366642426942
5,442.2411200409988,0.9326615333557129,0.21884005935117112,55.18653978999646,0.9238311052322388,0.22992051146688505
6,439.8225740320049,0.9353927373886108,0.2049280593687811,55.692595656000776,0.9283559918403625,0.21719405261819358
7,441.73120094201295,0.938500702381134,0.19490048940049476,55.22414315199421,0.92533940076828,0.2070157727279994
8,442.2550362559996,0.942267894744873,0.18514546029793158,55.46944149899355,0.930618405342102,0.20050834710421786
9,442.0396095220058,0.945846676826477,0.1772754393934777,55.29674923499988,0.9268476963043213,0.1961407769993959
10,441.30034283699933,0.9486721158027649,0.16854052898753136,55.5264200889942,0.9291101098060608,0.1914791950722805
11,440.5180723910016,0.949519693851471,0.16313626743638374,55.38894075200369,0.9366515874862671,0.19008302257071794
12,441.8603986160015,0.9507440328598022,0.1588052213514765,55.68956417699519,0.9351432919502258,0.18376793787669993
13,441.6513658449985,0.9517800211906433,0.15439525176591176,55.588153046992375,0.9374057650566101,0.1818651889828715
14,446.1079999710055,0.9544170498847961,0.15049482981382645,55.289069425009075,0.9343891739845276,0.1794676524706376
15,440.9028156259883,0.9555472135543823,0.14645160988140216,55.29603621699789,0.9389140605926514,0.17735654682055857
16,440.71894287299074,0.9573366045951843,0.14128952219529348,55.68532665699604,0.9404223561286926,0.17765472044951955
17,440.1883248179947,0.9586551189422607,0.13832882867961488,55.1576188649924,0.9396681785583496,0.1738861459862233
18,409.34162013200694,0.958843469619751,0.13567250649018306,50.03967526899942,0.9389140605926514,0.17400887021921338
19,440.92889820098935,0.9593144059181213,0.13394345880960942,55.47437049000291,0.9396681785583496,0.1705984972855624
20,440.92842314200243,0.9600678086280823,0.13147110258397307,55.22149079099472,0.9411764740943909,0.168334241411445
