vit_large_16_augment_epoch,vit_large_16_augment_train_time,vit_large_16_augment_train_accuracy,vit_large_16_augment_train_loss,vit_large_16_augment_eval_time,vit_large_16_augment_eval_accuracy,vit_large_16_augment_eval_loss
1,494.7919834839995,0.46835562586784363,3.5893370055797567,22.005995497002004,0.4215686321258545,0.9876251461638944
2,491.5992027100001,0.47777360677719116,1.0561351946550341,21.688542757001414,0.5052790641784668,0.9577482847067026
3,492.9284917040022,0.49726879596710205,1.0005567265468525,21.46923016800065,0.5052790641784668,0.964566514502823
4,492.35533833999943,0.5012243390083313,0.9836256160285204,21.812188519998017,0.5052790641784668,1.0078314447474874
5,493.0587704389982,0.5012243390083313,0.9734225488243455,22.266847787999723,0.5052790641784668,1.0596371779434641
6,492.6299256230013,0.5044264793395996,0.9806289275973772,21.138261955002235,0.5052790641784668,0.9674489253606552
7,493.1922437369976,0.49736297130584717,0.9790218459345074,21.50465370800157,0.5052790641784668,0.9803864592700343
8,493.90335780700116,0.5032021403312683,0.9729663194808881,21.64937473199825,0.5052790641784668,0.956361455255684
9,499.0318584340057,0.5031079649925232,0.9769153643808565,21.740140855996287,0.5052790641784668,0.9561089965912372
10,492.48005100299633,0.49981164932250977,0.9715915225975301,21.877721261997067,0.5052790641784668,0.9580798458369789
11,493.74851008100086,0.5038613677024841,0.9699913413314906,21.761737670000002,0.5052790641784668,1.0001287341657268
12,493.54291463700065,0.5036730170249939,0.9653147627212028,21.614958792000834,0.5052790641784668,0.9562848268770704
13,492.3583416420006,0.5017894506454468,0.9639929609124461,21.779111877003743,0.5052790641784668,0.9557422221516052
14,492.80428378500073,0.5016952753067017,0.9638082832013803,21.788627392998023,0.5052790641784668,0.9560967103028909
15,492.4080239680043,0.5034846663475037,0.9612682605557668,21.56380571000045,0.5052790641784668,0.9557651700297451
16,492.7177868489962,0.5034846663475037,0.9614803307831995,21.230519261000154,0.5052790641784668,0.9639270618490504
17,492.61649479100015,0.5010359883308411,0.9625916281849409,21.901862352002354,0.5052790641784668,0.9557382708041736
18,492.21440240299853,0.5034846663475037,0.9616387165475192,21.282978110997647,0.5052790641784668,0.9745818187748145
19,492.56497906299774,0.5041438937187195,0.9616704088165433,21.072647171000426,0.5052790641784668,0.955687240597709
20,463.2999672590013,0.4988698661327362,0.9610703879773314,19.16105168699869,0.5052790641784668,0.955653039578399
