vit_large_16_pretrained_epoch,vit_large_16_pretrained_train_time,vit_large_16_pretrained_train_accuracy,vit_large_16_pretrained_train_loss,vit_large_16_pretrained_eval_time,vit_large_16_pretrained_eval_accuracy,vit_large_16_pretrained_eval_loss
1,171.914333789,0.9032774567604065,0.2716703851749206,21.7503746600014,0.9313725829124451,0.1777264283545776
2,173.56073036799899,0.934733510017395,0.18397349899118623,21.526643450000847,0.9524887204170227,0.1444324719892368
3,172.4513675620001,0.9530985355377197,0.13342315518295675,22.024676560000444,0.9524887204170227,0.14693814084821608
4,173.92779298799906,0.9612921476364136,0.10830654409347584,22.030786469000304,0.9426847696304321,0.1585696769167485
5,174.08511740500035,0.9686381816864014,0.09056518961815628,21.79106646499895,0.9396681785583496,0.17268031705760847
6,174.38339828800054,0.969297468662262,0.08742135451682245,21.62849352000012,0.959276020526886,0.13572290083632255
7,173.10881005299962,0.9711810350418091,0.0847805375461343,21.92267331200128,0.9585219025611877,0.12941854716690193
8,173.9066106449991,0.9699566960334778,0.08409302123136542,21.98268555499999,0.960030198097229,0.12991172485868271
9,174.2455654860005,0.974854052066803,0.07259136031773507,21.987260096999307,0.9502262473106384,0.13382019791162122
10,173.5227358409993,0.9777736067771912,0.06353129767197929,22.100657616998433,0.9555053114891052,0.14706158604989808
11,173.75036576499951,0.9805989861488342,0.05706726278950783,21.490091539999412,0.9577677249908447,0.14052330939236854
12,172.33251692500016,0.9816349744796753,0.05698293808156147,21.804262076999294,0.9524887204170227,0.14022569704750273
13,172.56549295500008,0.9801281094551086,0.0593350970106015,21.69285777299956,0.9562594294548035,0.13361342974515636
14,174.19364715899974,0.9820116758346558,0.05528961949192168,21.501906625999254,0.9555053114891052,0.13507361406162605
15,174.2907911989987,0.9829534888267517,0.05433557616767082,22.07427991899931,0.9547511339187622,0.14899403421520108
16,174.46164576000047,0.9843661785125732,0.046052202641148066,21.920909483998912,0.953242838382721,0.15152996006389435
17,173.19266830200104,0.986909031867981,0.04335519485791784,22.129462775999855,0.9517345428466797,0.14927399170277345
18,173.5615903020007,0.985967218875885,0.04585489225028271,21.78870895199907,0.9547511339187622,0.1501966573956084
19,172.98608262199923,0.9854021668434143,0.0440647319881042,21.89153406100013,0.9577677249908447,0.1349918272488134
20,173.55379837999863,0.98615562915802,0.04209918918441206,22.034225245000925,0.9547511339187622,0.13983901796320264
